Frame_ID,Capture_ms,Encode_Send_ms,Network_ms,Decode_ms,YOLO_ms,Lane_ms,Decision_ms,Send_ms,GPIO_ms,Total_ms
484,4.297,5.357,9.294,1.209,234.261,4.248,0.033,0.207,0.017,259.006
485,2.491,5.114,9.146,1.289,238.728,3.884,0.029,0.139,0.017,260.92
486,2.538,5.215,13.147,1.498,235.126,3.435,0.021,0.18,0.017,261.257
487,2.557,5.111,8.892,1.223,228.679,3.376,0.016,0.14,0.016,250.087
488,2.541,5.229,9.577,1.712,234.148,3.104,0.017,0.164,0.017,256.587
489,2.534,5.154,8.872,1.248,229.155,3.435,0.017,0.146,0.016,250.659
490,2.509,5.297,10.511,1.78,232.771,4.269,0.023,0.185,0.017,257.446
491,2.549,5.178,9.152,1.49,239.287,2.658,0.016,0.143,0.016,260.569
492,2.501,5.129,11.036,1.22,245.227,5.27,0.02,0.161,0.016,270.661
493,2.512,5.154,10.796,1.438,238.201,3.472,0.016,0.149,0.017,261.836
494,2.513,5.163,8.721,1.251,233.731,3.816,0.015,0.175,0.016,255.48
495,3.611,5.437,9.687,1.215,249.814,5.015,0.073,0.231,0.039,275.248
496,3.594,15.154,10.955,1.489,241.672,11.824,0.021,0.214,0.017,285.048
497,2.568,5.19,8.707,1.35,232.179,8.08,0.017,0.162,0.017,258.36
498,2.519,5.182,10.789,1.237,238.371,5.458,0.024,0.218,0.017,263.915
499,2.546,5.181,10.131,1.465,255.439,4.278,0.016,0.132,0.017,279.299
500,2.535,5.166,10.509,1.237,261.237,6.86,0.04,0.223,0.017,287.903
501,2.523,5.126,10.18,1.416,246.286,12.831,0.017,0.164,0.016,278.642
502,3.597,5.396,10.238,1.463,251.529,9.978,0.016,0.267,0.017,282.596
503,2.529,5.159,9.759,1.872,250.854,4.257,0.016,0.156,0.017,274.708
504,2.587,5.178,8.599,1.234,237.326,5.041,0.016,0.129,0.017,260.221
505,2.516,5.108,10.427,1.382,244.139,5.163,0.016,0.159,0.016,269.009
506,2.493,5.168,8.45,1.342,230.728,3.493,0.018,0.162,0.016,251.953
507,2.546,5.217,9.878,1.322,234.484,3.41,0.017,0.25,0.017,257.219
508,2.508,5.096,9.43,1.206,231.71,8.621,0.02,0.197,0.017,258.885
509,2.779,5.177,10.236,1.285,234.63,3.863,0.018,0.178,0.017,258.272
510,2.544,5.114,9.94,1.55,234.858,3.311,0.03,0.322,0.018,257.782
511,2.539,5.118,9.571,1.229,231.225,3.636,0.023,0.326,0.016,253.761
512,2.481,5.16,8.629,1.211,229.446,2.72,0.015,0.14,0.016,249.899
513,3.664,5.318,8.852,1.193,228.558,2.595,0.015,0.144,0.017,250.441
514,2.509,5.096,9.357,1.329,238.437,3.063,0.026,0.342,0.034,260.312
